,Raw name,Mapped name,Guess
149,aasensio mudanzas sl,,accesos normalizados sl
150,aasset security gmbh,,a arnegger gmbh
151,aatc,,aatc
152,ab anlagenplanung gmbh,,a arnegger gmbh
153,ab aqua medic gmbh,,a arnegger gmbh
154,ab associates,,ab engineering mechanical service division limited
155,ab conseil,,ab engineering mechanical service division limited
156,ab fluid power ltd,,a  d environmental services ltd
157,ab logisting,,ab engineering mechanical service division limited
158,ab logisting sl,,accesos normalizados sl
159,ab millimetre,,ab engineering mechanical service division limited
160,ab servicios selecta espaãâa s l,,ab servicios selecta espaãâa s l
161,ab servicios selecta espana,,ab engineering mechanical service division limited
162,ab servicos selecta espana slu,,ab engineering mechanical service division limited
163,ab solving oy,,ab engineering mechanical service division limited
164,aba,,aba
165,aba ag sas,,ageo geometres experts sas
166,aba arbeitsgemeinschaft fuer betrieb,,aba arbeitsgemeinschaft fuer betrieb
167,aba ev arbeitsgemeinschaft,,aba ev arbeitsgemeinschaft
168,aba ev arbeitsgemeinschaft fuer,,aba arbeitsgemeinschaft fuer betrieb
169,aba ev arbeitsgemeinschaft fãr,,aba ev arbeitsgemeinschaft
170,aba ev arbeitsgemeinschaft fuer,,aba arbeitsgemeinschaft fuer betrieb
171,abac,,abac
172,abaca press,,abaca press
173,abaco systems limited,,a  t stationers private limited
174,abaco systems ltd,,a  d environmental services ltd
175,abadie aluminium sarl,,abadie aluminium sarl
176,abalia solutions sl,,accesos normalizados sl
177,abaques,,abaques
178,abaques audiovisuel,,abaques
179,abaques sas,,ageo geometres experts sas
180,abaqus inc,,a and m portable inc
181,abaris training,,abaris training
182,abaris training resources inc,,a and m portable inc
183,abast systems and solutions sl,,accesos normalizados sl
184,abast systems sa,,a foubert visserie sa
185,abb,,abb
186,abb automation,,abb automation
187,abb automation gmbh,,a arnegger gmbh
188,abb automation products gmbh,,a arnegger gmbh
189,abb electrical products,,abb automation products gmbh
190,abb france,,abb france
191,abb stotzkontakt gmbh,,a arnegger gmbh
192,abba hotel,,ao hotel and hostel
193,abbakan,,abbakan
194,abbakan france,,abb france
195,abbakan sas,,ageo geometres experts sas
196,abbakan sas,,ageo geometres experts sas
197,abbey industrial solutions ltd,,a  d environmental services ltd
198,abbia gnss technologies,,a2f technologies
199,abbsolute,,abbsolute
200,abbsolute comunicacin sl,,accesos normalizados sl
201,abc,,abc
202,abc  appareillage banc hydraulique,,abc
203,abc arquitectura modular,,abc
204,abc arquitectura modular sl,,accesos normalizados sl
205,abc beschriftungsbedarf gmbh,,a arnegger gmbh
206,abc business,,abc business
207,abc business communication,,abc business
208,abc container ek,,abc
209,abc entreprises,,abc
210,abc justice grand paris,,abc
211,abc location,,abc
212,abc sevilla sl,,accesos normalizados sl
213,abc sevilla sl,,accesos normalizados sl
214,abc solutions ltd,,a  d environmental services ltd
215,abcbeschriftungsbedarf gmbh,,a arnegger gmbh
216,abcert ag,,aaronia ag
217,abcr gmbh,,a arnegger gmbh
218,abd affutage,,abd affutage
219,abd druckluft gmbh,,a arnegger gmbh
220,abdm ingenieurgesellschaft br,,abdm ingenieurgesellschaft br
221,abdou et associes,,a et p  lithos
222,abe,,abe
223,abeba spezialschuhausstatter gmbh,,a arnegger gmbh
224,abec,,abec
225,abeille  associes,,abdou et associes
226,abel  imray,,abel  imray
227,abel  kaeufl,,abel  imray
228,abel  kaeufl mobilfunkhandels gmbh,,a arnegger gmbh
229,abel  ruf gmbh,,a arnegger gmbh
230,abelkãâufel,,abelkãâufel
231,abelruf gmbh,,a arnegger gmbh
232,abele ingenieure gmbh,,a arnegger gmbh
233,abello linde sa,,a foubert visserie sa
234,abeln franz,,abeln franz
235,abenefit2u ltd,,a  d environmental services ltd
236,abenstein strassen tief und,,a millitzer brandschutz und
237,aberbangor consultancy limited,,a  t stationers private limited
238,aberle gmbh,,a arnegger gmbh
239,abertis,,abertis
240,aberystwyth university,,aalboorg university
241,abexamiante,,abexamiante
242,abfallwirtschaftsbetrieb,,abfallwirtschaftsbetrieb
243,abfallwirtschaftsgesellschaft,,abfallwirtschaftsgesellschaft
244,abflussas berlin,,ãârztekammer berlin
245,abg concept,,abg concept
246,abg patentes sl,,accesos normalizados sl
247,abgi france,,abb france
248,abh stromschienen gmbh,,a arnegger gmbh
249,abicht rainer,,abicht rainer
250,abil producciones comunicaciones,,abil producciones comunicaciones
251,abilita gmbh,,a arnegger gmbh
252,ability international ltd,,a  d environmental services ltd
253,abilways ls,,abilways ls
254,abindieboxde,,abindieboxde
255,abj,,abj
256,abj architekten bauingenieure,,abj architekten bauingenieure
257,abl,,abl
258,abl system,,abl system
259,abl systems,,aar defense systems  logistics uk
260,ablaze bristol,,ablaze bristol
261,able and how limited,,a  t stationers private limited
262,able gmbh,,a arnegger gmbh
263,able hydraulics ltd,,a  d environmental services ltd
264,able2train,,able2train
265,abler gmbh,,a arnegger gmbh
266,abls,,abls
267,abmg,,abmg
268,abmi,,abmi
269,abmi grand ouest,,abmi grand ouest
270,abmi ile de france,,ãâudea seguridad de la informaciãânsl
271,abmi ouest,,abmi grand ouest
272,abnc property management,,aachen technical and management
273,abod  associates llc,,aa calibration services llc
274,abond services,,a  d environmental services ltd
275,abp automationssysteme gmbh,,a arnegger gmbh
276,abrake sl,,accesos normalizados sl
277,abrake sl,,accesos normalizados sl
278,abrasivos y maquinaria sa,,a foubert visserie sa
279,abrechnungsorganisation,,abrechnungsorganisation
280,abri plus equipements,,a plus
281,abs,,abs
282,abs logistik service gmbh,,a arnegger gmbh
283,abs service gmbh,,a arnegger gmbh
284,absaugtechnik maack,,absaugtechnik maack
285,absberufsbekleidung,,absberufsbekleidung
286,absc,,absc
287,absc gmbh,,a arnegger gmbh
288,abschlepp und bergungsdienst,,a millitzer brandschutz und
289,abschlepp und mobilservice mueller,,a millitzer brandschutz und
290,abscoa industries inc uniseal div,,a and m portable inc
291,absint,,absint
292,absint angewandte informatik gmbh,,a arnegger gmbh
293,absiskey,,absiskey
294,absl power solutions ltd,,a  d environmental services ltd
295,absolut,,absolut
296,absolut karriere gmbh  co kg,,a arnegger gmbh
297,absolut system,,abl system
298,absolut system sas,,ageo geometres experts sas
299,absolvent pl sp z o o,,absolvent pl sp z o o
300,absys cyborg,,absys cyborg
301,abt,,abt
302,abt sorime,,abt
303,abtec gmbh  co kg,,a arnegger gmbh
304,abtech safety limited,,a  t stationers private limited
305,abtei frauenwuerth,,abtei frauenwuerth
306,abthaus restaurant u cafe,,abthaus restaurant u cafe
307,abti traduction,,aãro traduction
308,abughazaleh international,,a mai international
309,abus crane systems limited,,a  t stationers private limited
310,abus kransysteme gmbh,,a arnegger gmbh
311,abus levage france,,abb france
312,abv architekten und bauherren,,a millitzer brandschutz und
313,abwasserzweckverband,,abwasserzweckverband
314,abylsen,,abylsen
315,abylsen gamma,,abylsen
316,abylsen sigma,,abylsen
317,abzeitsysteme gmbh,,a arnegger gmbh
318,ac  promotorados sl,,accesos normalizados sl
319,ac flag and banner inc,,a and m portable inc
320,ac hotel,,ao hotel and hostel
321,ac hotel sevilla niv srlu,,ao hotel and hostel
322,ac painting contractor corp,,a plus avionics corp
323,acs,,acs
324,ac6,,ac6
325,acadas,,acadas
326,acadas gmbh,,a arnegger gmbh
327,academie de sophrologie,,ãâudea seguridad de la informaciãânsl
328,academie des sciences,,academie des sciences
329,academy,,academy
330,academy beaugrenelle,,academy
331,academy intensivfahrschule nordheide gmbh,,a arnegger gmbh
332,academy of european,,aapa  association of asia pacific
333,academy of european industrial engineers ev,,aba ev arbeitsgemeinschaft
334,acadian advantage,,acadian advantage
335,acal bfi,,acal bfi
336,acal bfi france sas,,ageo geometres experts sas
337,acal bfi uk limited,,a  t stationers private limited
338,acal technology,,aaa dornier technology co ltd
339,acando gmbh,,a arnegger gmbh
340,acano uk ltd,,a  d environmental services ltd
341,acap demenagements,,acap demenagements
342,acatec sl,,accesos normalizados sl
343,acatech deutsche akademie,,acatech deutsche akademie
344,acatech hauptstadtbuero,,acatech deutsche akademie
345,acb,,acb
346,acb sas,,ageo geometres experts sas
347,acb solutions,,abalia solutions sl
348,acc,,acc
